"Year","DT_mean","DP_mean"
"FUT(1982-2011)",-0.310346710777033,0.132176789050698
"FUT(1983-2012)",-0.272215118623786,0.261492292660807
"FUT(1984-2013)",-0.23666458622698,-0.00289908212840335
"FUT(1985-2014)",-0.200912990836682,-0.0699830576042698
"FUT(1986-2015)",-0.168808038023751,-0.198663472229063
"FUT(1987-2016)",-0.149232976533405,0.073085596338699
"FUT(1988-2017)",-0.117435596451083,0.0195521901176261
"FUT(1989-2018)",-0.0827889660413149,0.336841321094183
"FUT(1990-2019)",-0.0514246197078766,0.147244094415093
"FUT(1991-2020)",-0.0243463481890524,0.120098891428722
"FUT(1992-2021)",0,0
"FUT(1993-2022)",0.0459648547414087,0.0545147430113688
"FUT(1994-2023)",0.0996505083103205,-0.0681626274127603
"FUT(1995-2024)",0.137825476341615,0.113170601778032
"FUT(1996-2025)",0.184149462200386,0.409348442453429
"FUT(1997-2026)",0.222689459770051,0.66491603959442
"FUT(1998-2027)",0.253774349534467,0.832349425272476
"FUT(1999-2028)",0.274604573361261,1.07452478483548
"FUT(2000-2029)",0.31086716016681,1.10938382322278
"FUT(2001-2030)",0.339498758895098,1.1319041154927
"FUT(2002-2031)",0.372987954838157,1.43316986790379
"FUT(2003-2032)",0.400892751413158,1.50581568405275
"FUT(2004-2033)",0.446550953590573,1.45266357297604
"FUT(2005-2034)",0.481853589538524,1.44000239270825
"FUT(2006-2035)",0.518961120842347,1.42273803973984
"FUT(2007-2036)",0.555716319918299,1.68241252200002
"FUT(2008-2037)",0.594097960935788,1.97788595772611
"FUT(2009-2038)",0.63175832356959,2.18209124426382
"FUT(2010-2039)",0.668293330801597,1.97798172212247
"FUT(2011-2040)",0.715148926699054,2.10090546959272
"FUT(2012-2041)",0.75457257658702,2.13911621799533
"FUT(2013-2042)",0.791532245200667,2.19992590017862
"FUT(2014-2043)",0.834137093646373,2.0028809571843
"FUT(2015-2044)",0.873277336726862,2.27876475278065
"FUT(2016-2045)",0.91358664300525,2.25035185591261
"FUT(2017-2046)",0.95682928044172,1.89676490063699
"FUT(2018-2047)",0.998699926625942,1.93735004038024
"FUT(2019-2048)",1.03389392554866,1.94379611083929
"FUT(2020-2049)",1.07307982213477,2.10142652743861
"FUT(2021-2050)",1.11231449681648,2.32166277839312
"FUT(2022-2051)",1.16207146258955,2.36879179317531
"FUT(2023-2052)",1.20906731609792,2.51003452702674
"FUT(2024-2053)",1.24891909896769,2.46924775690021
"FUT(2025-2054)",1.29158730712158,2.44329256640685
"FUT(2026-2055)",1.33149390404003,2.29511869130735
"FUT(2027-2056)",1.36949421524164,2.16491609952929
"FUT(2028-2057)",1.41732079984907,1.89733175853771
"FUT(2029-2058)",1.46554951383845,1.8707116633765
"FUT(2030-2059)",1.51070980171711,2.07806021334749
"FUT(2031-2060)",1.55781858563733,2.43768215273916
"FUT(2032-2061)",1.60134897173351,2.40578409607066
"FUT(2033-2062)",1.65239348552226,2.40604159645881
"FUT(2034-2063)",1.68960761357146,2.67309602812589
"FUT(2035-2064)",1.72863647531236,2.73347621732863
"FUT(2036-2065)",1.77137741699871,2.47334134836879
"FUT(2037-2066)",1.81675588901015,2.40642077432393
"FUT(2038-2067)",1.85726174909389,2.32538532490423
"FUT(2039-2068)",1.89537630760513,2.1398841183364
"FUT(2040-2069)",1.94198543907462,2.35203314388249
"FUT(2041-2070)",1.98354244953182,2.51492015834736
"FUT(2042-2071)",2.02668002005733,2.77934737413957
"FUT(2043-2072)",2.07150534723068,2.8123966873767
"FUT(2044-2073)",2.11384533691215,3.21025847597019
"FUT(2045-2074)",2.1601410959346,3.08202003254859
"FUT(2046-2075)",2.21112610299103,3.08846867578207
"FUT(2047-2076)",2.26326194949201,3.08737618302445
"FUT(2048-2077)",2.30771570194318,3.24901674138807
"FUT(2049-2078)",2.35767524781668,3.44670874497986
"FUT(2050-2079)",2.39941092463796,3.66215447441134
"FUT(2051-2080)",2.44148541778512,3.79093006467763
"FUT(2052-2081)",2.48474304531561,3.85434177347188
"FUT(2053-2082)",2.52578810278453,3.84604835514601
"FUT(2054-2083)",2.55888827090339,4.16316441513409
"FUT(2055-2084)",2.59664623773836,4.44649125309858
"FUT(2056-2085)",2.63835038169136,4.46858483466309
"FUT(2057-2086)",2.68316858197937,4.53525636766642
"FUT(2058-2087)",2.72309601172946,4.65420042318143
"FUT(2059-2088)",2.75585035411937,4.87151288501428
"FUT(2060-2089)",2.78996928265386,4.87272363462148
"FUT(2061-2090)",2.82472803374199,4.86201564535343
"FUT(2062-2091)",2.86683852895387,4.84893298045907
"FUT(2063-2092)",2.90767402257596,4.87820383319616
"FUT(2064-2093)",2.94504934011918,4.81728870191907
"FUT(2065-2094)",2.98853593821043,4.7452331767441
"FUT(2066-2095)",3.01915145371925,5.01087551375632
"FUT(2067-2096)",3.05363837080002,5.00856310653416
"FUT(2068-2097)",3.09239595480631,4.98517894140224
"FUT(2069-2098)",3.13391340669276,5.11847255556131
"FUT(2070-2099)",3.17074472138433,5.00137584123211
